seconds,fps
1,11
2,18
3,17
4,17
5,17
6,17
7,17
8,20
9,18
10,17
11,17
12,16
13,17
14,19
15,18
16,17
17,16
18,17
19,19
20,19
21,18
22,16
23,16
24,17
25,19
26,19
27,19
28,18
29,17
30,17
31,16
32,20
33,18
34,19
35,18
36,17
37,17
38,16
39,19
40,18
41,17
42,18
43,17
44,16
45,17
46,19
47,18
48,17
49,17
50,17
51,17
52,19
53,18
54,17
55,17
56,17
57,17
